source,url,original_url,status,type
https://www.stage.boost.org/library/master/sort/,https://www.stage.boost.org/library/master/sort/doc/papers/block_indirect_sort_en.pdf,,404,broken
https://www.stage.boost.org/library/develop/callable_traits/,https://www.stage.boost.org/library/develop/callable_traits/LICENSE.md,,404,broken
https://www.stage.boost.org/library/master/callable_traits/,https://www.stage.boost.org/library/master/callable_traits/LICENSE.md,,404,broken
https://www.stage.boost.org/library/latest/callable_traits/,https://www.stage.boost.org/library/latest/callable_traits/LICENSE.md,,404,broken
https://www.stage.boost.org/library/develop/static_string/,https://www.stage.boost.org/library/develop/static_string/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/master/static_string/,https://www.stage.boost.org/library/master/static_string/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/latest/static_string/,https://www.stage.boost.org/library/latest/static_string/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/develop/test/,https://www.stage.boost.org/library/develop/test/CONTRIBUTE.md,,404,broken
https://www.stage.boost.org/library/master/test/,https://www.stage.boost.org/library/master/test/CONTRIBUTE.md,,404,broken
https://www.stage.boost.org/library/latest/test/,https://www.stage.boost.org/library/latest/test/CONTRIBUTE.md,,404,broken
https://www.stage.boost.org/library/develop/hof/,https://www.stage.boost.org/library/develop/hof/BOOST_HOF_STATIC_FUNCTION,,404,broken
https://www.stage.boost.org/library/develop/hof/,https://www.stage.boost.org/library/develop/hof/BOOST_HOF_STATIC_LAMBDA_FUNCTION,,404,broken
https://www.stage.boost.org/library/master/hof/,https://www.stage.boost.org/library/master/hof/BOOST_HOF_STATIC_FUNCTION,,404,broken
https://www.stage.boost.org/library/master/hof/,https://www.stage.boost.org/library/master/hof/BOOST_HOF_STATIC_LAMBDA_FUNCTION,,404,broken
https://www.stage.boost.org/library/latest/hof/,https://www.stage.boost.org/library/latest/hof/BOOST_HOF_STATIC_FUNCTION,,404,broken
https://www.stage.boost.org/library/latest/hof/,https://www.stage.boost.org/library/latest/hof/BOOST_HOF_STATIC_LAMBDA_FUNCTION,,404,broken
https://www.stage.boost.org/library/develop/lambda2/,https://www.stage.boost.org/library/develop/lambda2/include/boost/lambda2/lambda2.hpp,,404,broken
https://www.stage.boost.org/library/master/lambda2/,https://www.stage.boost.org/library/master/lambda2/include/boost/lambda2/lambda2.hpp,,404,broken
https://www.stage.boost.org/library/latest/lambda2/,https://www.stage.boost.org/library/latest/lambda2/include/boost/lambda2/lambda2.hpp,,404,broken
https://www.stage.boost.org/library/develop/stl_interfaces/,https://www.stage.boost.org/library/develop/stl_interfaces/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/master/stl_interfaces/,https://www.stage.boost.org/library/master/stl_interfaces/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/latest/stl_interfaces/,https://www.stage.boost.org/library/latest/stl_interfaces/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/develop/yap/,https://www.stage.boost.org/library/develop/yap/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/master/yap/,https://www.stage.boost.org/library/master/yap/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/hana.sublime-project,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/benchmark,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/cmake,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/doc,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/example,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/include,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/test,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/CONTRIBUTING.md,,404,broken
https://www.stage.boost.org/library/develop/hana/,https://www.stage.boost.org/library/develop/hana/LICENSE.md,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/hana.sublime-project,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/benchmark,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/cmake,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/doc,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/example,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/include,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/test,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/CONTRIBUTING.md,,404,broken
https://www.stage.boost.org/library/master/hana/,https://www.stage.boost.org/library/master/hana/LICENSE.md,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/hana.sublime-project,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/benchmark,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/cmake,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/doc,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/example,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/include,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/test,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/CONTRIBUTING.md,,404,broken
https://www.stage.boost.org/library/latest/hana/,https://www.stage.boost.org/library/latest/hana/LICENSE.md,,404,broken
https://www.stage.boost.org/library/latest/yap/,https://www.stage.boost.org/library/latest/yap/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/develop/parser/,https://www.stage.boost.org/library/develop/parser/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/master/parser/,https://www.stage.boost.org/library/master/parser/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/latest/parser/,https://www.stage.boost.org/library/latest/parser/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/sort/,https://www.stage.boost.org/library/1.90.0.beta1/sort/doc/papers/original_spreadsort06_2002.pdf,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/sort/,https://www.stage.boost.org/library/1.90.0.beta1/sort/doc/papers/flat_stable_sort_eng.pdf,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/sort/,https://www.stage.boost.org/library/1.90.0.beta1/sort/doc/papers/block_indirect_sort_en.pdf,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/static_string/,https://www.stage.boost.org/library/1.90.0.beta1/static_string/LICENSE_1_0.txt,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/callable_traits/,https://www.stage.boost.org/library/1.90.0.beta1/callable_traits/LICENSE.md,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/hana.sublime-project,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/benchmark,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/cmake,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/doc,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/example,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/include,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/test,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/CONTRIBUTING.md,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/hana/,https://www.stage.boost.org/library/1.90.0.beta1/hana/LICENSE.md,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/test/,https://www.stage.boost.org/library/1.90.0.beta1/test/CONTRIBUTE.md,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/lambda2/,https://www.stage.boost.org/library/1.90.0.beta1/lambda2/include/boost/lambda2/lambda2.hpp,,404,broken
https://www.stage.boost.org/library/1.90.0.beta1/stl_interfaces/,https://www.stage.boost.org/library/1.90.0.beta1/stl_interfaces/LICENSE_1_0.txt,,404,broken
